A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-08-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-DUNLOPILLO	CONFIRMED		2026	AUGUST	07/08/2026	09/08/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	True	True			True	True	DONE	True				FALSE					dov5t88h21io1h1r90lls3g5d8@google.com
2026-08-HOMELOVE-KL-PAVILIONBUKITJALIL-AKEMI	CONFIRMED		2026	AUGUST	07/08/2026	09/08/2026	3	HOMELOVE	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	True	True	195-202 (8 BOOTH)	72	False	False		False				FALSE					j5o3ee35i6beoulc4b0ekdcgn0@google.com
2026-08-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-ERGOTEX	CONFIRMED		2026	AUGUST	07/08/2026	09/08/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	ERGOTEX	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					quk0nbpak5b1120g4ta5hf5nas@google.com
2026-08-REX-KL-MVECSOUTHKEY-AKEMI	CONFIRMED		2026	AUGUST	07/08/2026	09/08/2026	3	REX	KL	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					ajgb4esca5d9por2gq32ac454k@google.com
2026-08-HOMELOVE-SARAWAK-BOULEVARDSHOPPINGMALLMIRI-AKEMI	CONFIRMED		2026	AUGUST	13/08/2026	16/08/2026	4	HOMELOVE	SARAWAK	BOULEVARD SHOPPING MALL MIRI	AKEMI	EXHIBITION	YEN CREATIVE	True	True			False	False		False				FALSE					afdd1he4pcqofc176fbe97ohtc@google.com
2026-08-PERFECT LIVING-KL-MIDVALLEY-AKEMI	CONFIRMED		2026	AUGUST	14/08/2026	16/08/2026	3	PERFECT LIVING	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	1033-1036, 1043-1046 (8 BOOTH)	72	False	False		False				FALSE					jv3dps770qf7tp40rh8tbap68c@google.com
2026-08-PERFECT LIVING-KL-MIDVALLEY-ERGOTEX	CONFIRMED		2026	AUGUST	14/08/2026	16/08/2026	3	PERFECT LIVING	KL	MID VALLEY	ERGOTEX	EXHIBITION	DREAMART	True	True	1033-1036, 1043-1046 (8 BOOTH)	72	False	False		False				FALSE					unefurml24v56g5vn8te1jc64o@google.com
2026-08-MEGAHOME-IPOH-STADIUMINDERAMULIA-AKEMI	CONFIRMED		2026	AUGUST	21/08/2026	23/08/2026	3	MEGAHOME	IPOH	STADIUM INDERA MULIA	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					9kkp4gchkj7s19d0ruo520pshk@google.com
2026-08-MYHOME-KL-MITEC-AKEMI	CONFIRMED		2026	AUGUST	21/08/2026	23/08/2026	3	MYHOME	KL	MITEC	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					ji4qj168r051i8q2fnnttrk5so@google.com
	CONFIRMED		2026	AUGUST	28/08/2026	31/08/2026	4	BIGHOME	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False									g30q5mmslt0g135v08k4lq3tno@google.com
2026-08-MEGAHOME-MELAKA-MITC-AKEMI	CONFIRMED		2026	AUGUST	28/08/2026	31/08/2026	4	MEGAHOME	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					c2l59tj1cldjjsv1va9asrd1gk@google.com
2026-01-MYHOME-PENANG-PWCC-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	MYHOME	PENANG	PWCC	ZANOTTI	EXHIBITION	DREAMART	True	True	F620 (4 BOOTH)	39.6	True	True	WAITING APPROVAL	True	NO NEED	NO NEED	DONE	DONE		26056	16000	https://chlorinated-glue-adf.notion.site/PENANG-Zanotti-MYHOME-PENANG-WATERFRONT-CONVENTION-CENTRE-2d17ce8e74e1804c8449efdc56a56c11?source=copy_link	tecga8q8kf0qr3rjjsbonoknmo@google.com
	CONFIRMED		2026	MAY	01/05/2026	03/05/2026	3	BIGHOME	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	False	False	B20		False	False		False									hgkdln3l9hafi4a4dtoumtkr30@google.com
2026-08-HOMELOVE-KL-IOIGECC-AKEMI	CONFIRMED		2026	AUGUST	28/08/2026	31/08/2026	4	HOMELOVE	KL	IOIGECC	AKEMI	EXHIBITION	DREAMART	True	True	011-013, 018-020 (6 BOOTH)	54	False	False		False				FALSE					g2jktokai30s5q3ehm0bnm7m58@google.com
	CONFIRMED		2026	AUGUST	28/08/2026	31/08/2026	4	HOMELOVE	SARAWAK	BCCK KUCHING	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False									d9pgoev3atn7l91da8f11qk32c@google.com
2026-08-MEGAHOME-MELAKA-MITC-ZANOTTI	CONFIRMED		2026	AUGUST	28/08/2026	31/08/2026	4	MEGAHOME	MELAKA	MITC	ZANOTTI	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					gk904r3mbr9grh90c23td0p0g8@google.com
2026-08-MEGAHOME-PENANG-PWCC-AKEMI	CONFIRMED		2026	AUGUST	29/08/2026	31/08/2026	3	MEGAHOME	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	True	True			False	False		False				FALSE					j0v6o6aeaaipiar7a70juth4hs@google.com
2025-12-INHOME-JOHOR-SUTERASQUARE-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	05/12/2025	07/12/2025	3	INHOME	JOHOR	SUTERA SQUARE	AKEMI	EXHIBITION	DREAMART	True	True	055-062	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED				https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-INHOME-SUTERA-SQUARE-2737ce8e74e1807d885cedb892aeea97?source=copy_link	l178r60fie4t0mtd9or43kbar8@google.com
2025-12-MLE-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	05/12/2025	07/12/2025	3	MLE	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	C6	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED				https://chlorinated-glue-adf.notion.site/PENANG-Akemi-MLE-SETIA-SPICE-CONVENTION-CENTRE-2b77ce8e74e180c68be1d306be2efcc3?source=copy_link	ofkj1n7s4df1u803o4v2m80dh0@google.com
2025-12-MLE-PENANG-SETIASPICECONVENTIONCENTRE-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	05/12/2025	07/12/2025	3	MLE	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	C8	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE				https://chlorinated-glue-adf.notion.site/PENANG-Zanotti-MLE-SETIA-SPICE-CONVENTION-CENTRE-2b77ce8e74e180279603d8fb6d0a6bde?source=copy_link	rk3rtuj88nn38emhpmv09crjko@google.com
2025-12-MEGAHOME-SABAH-SICC-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	05/12/2025	07/12/2025	3	MEGAHOME	SABAH	SICC	AKEMI	EXHIBITION	AKIL KAYA	True	True	S95-S100	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/SABAH-Akemi-MEGAHOME-SICC-2a27ce8e74e180efb50df121527f6320?source=copy_link	i8qqfpebte6j9cfkb51qqrd694@google.com
2025-12-HOMELOVE-SARAWAK-BOULEVARDSHOPPINGMALLMIRI-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	11/12/2025	14/12/2025	4	HOMELOVE	SARAWAK	BOULEVARD SHOPPING MALL MIRI	AKEMI	EXHIBITION	YEN CREATIVE	True	True	147-150, 155-158	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED				https://chlorinated-glue-adf.notion.site/SARAWAK-Akemi-HOMELOVE-BOULEVARD-SHOPPING-MALL-MIRI-2867ce8e74e180a0b16cddebce249096?source=copy_link	mvfj32bkvds22lg6ovbkel8nfs@google.com
2025-12-BIGHOME-PENANG-PWCC-ERGOTEX	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	BIGHOME	PENANG	PWCC	ERGOTEX	EXHIBITION	DREAMART	True	True	H84-H86, H88-H90	54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/PG-Ergotex-HOME-LIVING-PENANG-WATERFRONT-CONVENTION-CENTRE-29d7ce8e74e1807f8181cabebe941375?source=copy_link	
2025-12-HOMELOVE-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	HOMELOVE	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True	2028-2033	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-HOMELOVE-MVEC-SOUTHKEY-2867ce8e74e180e7b7cedf191dee3b13?source=copy_link	396klrast65tf93lllsnkr0jik@google.com
2025-12-HOMELOVE-JOHOR-MVECSOUTHKEY-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	HOMELOVE	JOHOR	MVEC SOUTHKEY	ZANOTTI	EXHIBITION	DREAMART	True	True	2110-2113	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/JOHOR-Zanotti-HOMELOVE-MVEC-SOUTHKEY-2867ce8e74e1806ebdc3c8c599952a27?source=copy_link	gd3e7o51v5b7fm9fcm69amfddo@google.com
2025-12-MYHOME-KL-MITEC-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	MYHOME	KL	MITEC	AKEMI	EXHIBITION	DREAMART	True	True	A809		True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-MYHOME-MITEC-2867ce8e74e1803faba2cdc1be7ca463?source=copy_link	u46f9390qvuptbj81lkd85a0ss@google.com
2025-12-REX-KL-PAVILIONBUKITJALIL-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	REX	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	True	True	HALL 3, 3011	90	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-REX-PAVILION-BUKIT-JALIL-2867ce8e74e1803cbd04e495d64be9f2?source=copy_link	gqjbnvgvqaenkd231gubqr8jfk@google.com
2025-12-REX-KL-PAVILIONBUKITJALIL-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	REX	KL	PAVILION BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	True	True	HALL 3, 3011	90	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-REX-PAVILION-BUKIT-JALIL-2bd7ce8e74e1808bb053e0cf782dbd02?source=copy_link	emp71plnbp9e0gkal2p2964ptg@google.com
2025-12-BIGHOME-PENANG-PWCC-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	BIGHOME	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	True	True	F27-F35	72	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/PG-Akemi-HOME-LIVING-PENANG-WATERFRONT-CONVENTION-CENTRE-29d7ce8e74e180efa0f3fead38e28252?source=copy_link	98ptrks0o41kj57bi2rjbpaufs@google.com
2025-12-BIGHOME-PENANG-PWCC-DUNLOPILLO	CONFIRMED	COMPLETED	2025	DECEMBER	12/12/2025	14/12/2025	3	BIGHOME	PENANG	PWCC	DUNLOPILLO	EXHIBITION	DREAMART	True	True	H19,H20,H24,H25	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/PG-Dunlop-HOME-LIVING-PENANG-WATERFRONT-CONVENTION-CENTRE1-29d7ce8e74e180b5afcbefc7989bd6ba?source=copy_link	1blmbo7va52kbegpiv3tdn6l1s@google.com
2025-12-MR OOI (TS MOON)-PENANG-AMANCENTRAL-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	04/01/2026	17	MR OOI (TS MOON)	PENANG	AMAN CENTRAL	AKEMI	SOLO	DREAMART	True	True	GF NORTH ATRIUM		True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KEDAH-Akemi-SOLO-AMAN-CENTRAL-2867ce8e74e18087bdc5e16a9d184e88?source=copy_link	nmscen5epo9ru9urvfd5pjgl78@google.com
2025-12-MEGAHOME-IPOH-STADIUMINDERAMULIA-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	MEGAHOME	IPOH	STADIUM INDERA MULIA	AKEMI	EXHIBITION	DREAMART	True	True	76-78, 83-85	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/IPOH-Akemi-MEGAHOME-STADIUM-INDERA-MULIA-2867ce8e74e1807f8b86d29eaea15d2e?source=copy_link	840vvskrt76j5ule3pkobeakd8@google.com
2025-12-BIGHOME-KL-SCCCSHAHALAM-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	BIGHOME	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	True	True	A20	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-BIGHOME-SETIA-CITY-CONVENTION-CENTRE-2867ce8e74e18079a85fcb826d87d665?source=copy_link	bblup3af3duonu3qaubncm7pck@google.com
2025-12-BIGHOME-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	BIGHOME	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	True	True	A02	54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-BIGHOME-SETIA-CITY-CONVENTION-CENTRE-29d7ce8e74e180c7bafdcc15318e66e1?source=copy_link	80037ua0civ5ieobb6elcejg80@google.com
2025-12-HOMELOVE-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	HOMELOVE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	1016-1021	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-HOMELOVE-MID-VALLEY-2867ce8e74e18031b417e729e4eb17bd?source=copy_link	rnll9b99isdmrrgidpr0a0sp8o@google.com
2025-12-HOMELOVE-KL-MIDVALLEY-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	HOMELOVE	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	True	True	1005-1008	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-HOMELOVE-MID-VALLEY-2867ce8e74e1804090efcc5b06a43a96?source=copy_link	n9vdcbgacbnjasrib4p7csgds8@google.com
2025-12-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	S2 p129-132 	72	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/PG-Akemi-MEGAHOME-PISA-SPICE-ARENA-2867ce8e74e18010bb99c24155970055?source=copy_link	ehcdqkfplmesl8l40jf6hjb0es@google.com
2025-12-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	C&C: P120-123	3	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/PG-Akemi-MEGAHOME-PISA-SPICE-ARENA-2867ce8e74e18010bb99c24155970055?source=copy_link	ji3u7smvlo0rqbl6525sr46c4k@google.com
2025-12-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	D10		True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/PENANG-Zanotti-MEGAHOME-PISA-SPICE-ARENA-2c57ce8e74e180b39c11f454c8a69b70?source=copy_link	uv1ejevtfobp2rvqmndf5i3ros@google.com
2025-12-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-DUNLOPILLO	CONFIRMED	COMPLETED	2025	DECEMBER	19/12/2025	21/12/2025	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	True	True	D3		True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/PENANG-Dunlopillo-MEGAHOME-PISA-SPICE-ARENA-2c57ce8e74e180828343f2b2e300503d?source=copy_link	cc1k23ejop010ipgh0fg1vj094@google.com
2025-12-MALL MGT-SABAH-ITCC-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	24/12/2025	04/01/2026	12	MALL MGT	SABAH	ITCC	AKEMI	SOLO	AKIL KAYA	True	True	EAST WING	20	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/SABAH-Akemi-SOLO-ITCC-SABAH-2af7ce8e74e180c8b9a3e6faad54a185?source=copy_link	nj650j3e2cio22mcldd1jaeubs@google.com
2025-12-SYELIN (EV PLAN MKTG)-IPOH-AEONSTATION18-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	24/12/2025	28/12/2025	5	SYELIN (EV PLAN MKTG)	IPOH	AEON STATION 18	AKEMI	SOLO	DREAMART	True	True	SOUTH COURT	24	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/IPOH-Akemi-SOLO-AEON-MALL-STATION-18-2bd7ce8e74e1807f8466d7a1b8cb35d4?source=copy_link	3f8ko0b107qv15g2pu8j04t6rs@google.com
2025-12-MLE-KL-STADIUMBUKITJALIL-ERGOTEX	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	MLE	KL	STADIUM BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	True	True	A28	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE				https://chlorinated-glue-adf.notion.site/KL-Ergotex-MLE-STADIUM-BUKIT-JALIL-2ca7ce8e74e180d195c0c8056669e99d?source=copy_link	
2025-12-MLE-KL-STADIUMBUKITJALIL-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	MLE	KL	STADIUM BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	True	True	A33	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-MLE-STADIUM-BUKIT-JALIL-2867ce8e74e180749f44dd655cd8534b?source=copy_link	a4r7ilgdmhocma1h28fj3tdffk@google.com
2025-12-MLE-KL-STADIUMBUKITJALIL-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	MLE	KL	STADIUM BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	True	A27	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-MLE-STADIUM-BUKIT-JALIL-2ca7ce8e74e18013ba58c9a81c7a41e6?source=copy_link	c8av1vioshghrd3mcara2uq62g@google.com
2025-12-MLE-MELAKA-MITC-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	MLE	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	True	True	E35	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED				https://chlorinated-glue-adf.notion.site/MELAKA-Akemi-MLE-MITC-2867ce8e74e1806e9c31cde14d991286?source=copy_link	9t6cgq1926ot04t08u2r2v7h0k@google.com
2025-12-MLE-MELAKA-MITC-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	MLE	MELAKA	MITC	ZANOTTI	EXHIBITION	DREAMART	True	True	E36	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE				https://chlorinated-glue-adf.notion.site/MELAKA-Zanotti-MLE-MITC-2ca7ce8e74e18010884ad13c5ca5e98a?source=copy_link	crqb6mmfddkqtrqc9ui21j5u2g@google.com
2025-12-HOMELOVE-PUTRAJAYA-IOIGECC-AKEMI	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	HOMELOVE	PUTRAJAYA	IOIGECC	AKEMI	EXHIBITION	DREAMART	True	True	011-013, 018-020	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/PUTRAJAYA-Akemi-HOMELOVE-PUTRAJAYA-IOIGECC-2867ce8e74e1804087d3dad8f44c13a1?source=copy_link	uin01qnfgv8kotf1vc6tdnhopk@google.com
2025-12-HOMELOVE-PUTRAJAYA-IOIGECC-ZANOTTI	CONFIRMED	COMPLETED	2025	DECEMBER	25/12/2025	28/12/2025	4	HOMELOVE	PUTRAJAYA	IOIGECC	ZANOTTI	EXHIBITION	DREAMART	True	True	034-037	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/PUTRAJAYA-Zanotti-HOMELOVE-IOIGECC-PUTRAJAYA-2af7ce8e74e1804b8f03ff3afdafc615?source=copy_link	tg4u0sdpbapdb65nkh4qrl12m8@google.com
	CONFIRMED		2026	DECEMBER	03/12/2026	06/12/2026	4	HOMELOVE	SARAWAK	BOULEVARD SHOPPING MALL MIRI	AKEMI	EXHIBITION	YEN CREATIVE	False	False			False	False		False				FALSE					afdd1he4pcqofc176fbe97ohtc@google.com
2026-12-MEGAHOME-JOHOR-MVECSOUTHKEY-	PENDING PARTICIPATING		2026	DECEMBER	03/12/2026	06/12/2026	4	MEGAHOME	JOHOR	MVEC SOUTHKEY				False	False			False	False		False									s47o0aot5u7ttsaog94h8rrfq8@google.com
2026-12-MLE-KL-STADIUMBUKITJALIL-AKEMI	CONFIRMED		2026	DECEMBER	03/12/2026	06/12/2026	4	MLE	KL	STADIUM  BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					luc43lisusfd4gvq45ovi241ao@google.com
2026-12-MLE-KL-STADIUMBUKITJALIL-ZANOTTI	CONFIRMED		2026	DECEMBER	03/12/2026	06/12/2026	4	MLE	KL	STADIUM  BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					prog1tcn84ug99565f5lnrff20@google.com
2026-12-MLE-KL-STADIUMBUKITJALIL-ERGOTEX	CONFIRMED		2026	DECEMBER	03/12/2026	06/12/2026	4	MLE	KL	STADIUM  BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					vbgqbpfqvqc5u5kq5otj640ttc@google.com
2026-12-MLE-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED		2026	DECEMBER	04/12/2026	06/12/2026	3	MLE	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					vosaiv184dpkgh3isppf3n2e3k@google.com
2026-12-MLE-PENANG-SETIASPICECONVENTIONCENTRE-ZANOTTI	CONFIRMED		2026	DECEMBER	04/12/2026	06/12/2026	3	MLE	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					5gpollll458s5foirkb4vshrd8@google.com
2026-12-MLE-PENANG-SETIASPICECONVENTIONCENTRE-DUNLOPILLO	CONFIRMED		2026	DECEMBER	04/12/2026	06/12/2026	3	MLE	PENANG	SETIA SPICE CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					hbv375eotpt0h6h0ljmlfmpa78@google.com
2026-12-REX-KL-PAVILIONBUKITJALIL-AKEMI	CONFIRMED		2026	DECEMBER	11/12/2026	13/12/2026	3	REX	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					fh8ak9thu1voem6uotem3m2kbs@google.com
2026-12-REX-KL-PAVILIONBUKITJALIL-ZANOTTI	CONFIRMED		2026	DECEMBER	11/12/2026	13/12/2026	3	REX	KL	PAVILION BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					u1qedc846j4pa1cmphgm9qhmb4@google.com
2026-12-REX-KL-PAVILIONBUKITJALIL-ERGOTEX	CONFIRMED		2026	DECEMBER	11/12/2026	13/12/2026	3	REX	KL	PAVILION BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					9bokhfbrrgov7jeh3cj5j7hmp4@google.com
2026-12-MEGAHOME-SABAH-SICC-AKEMI	CONFIRMED		2026	DECEMBER	11/12/2026	13/12/2026	3	MEGAHOME	SABAH	SICC	AKEMI	EXHIBITION	AKIL KAYA	False	False			False	False		False				FALSE					i0jgbhia02lat4bv83u3hveui0@google.com
2026-12-MLE-SARAWAK-MCCCKUCHING-ERGOTEX	CONFIRMED		2026	DECEMBER	17/12/2026	20/12/2026	4	MLE	SARAWAK	MCCC KUCHING	ERGOTEX	EXHIBITION	JH CONTRACTOR	False	False			False	False		False				FALSE					2k47igi4od8fkr7mb3n7kdbrss@google.com
2026-12-MLE-SARAWAK-MCCCKUCHING-AKEMI	CONFIRMED		2026	DECEMBER	17/12/2026	20/12/2026	4	MLE	SARAWAK	MCCC KUCHING	AKEMI	EXHIBITION	YEN CREATIVE	False	False			False	False		False				FALSE					u5lge92c3kth8ura5gudgp3rog@google.com
2026-12-HOMELOVE-KL-MIDVALLEY-AKEMI	CONFIRMED		2026	DECEMBER	18/12/2026	20/12/2026	3	HOMELOVE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					8ei0jc24jm5dc6mk07vtm90ohc@google.com
